rossman,stat130,0
afriyie,stat427,1
afriyie,stat427,2
bodwin,stat419,3
bodwin,stat419,4
carlton,stat302,5
carlton,stat302,6
chance,stat365,7
chance,stat365,8
doi,stat324,9
doi,stat217,10
doi,stat217,11
doi,stat524,12
doi,stat217,13
doi,stat217,14
frame,stat331,15
frame,stat531,16
frame,stat331,17
frame,stat531,18
glanz,stat434,19
glanz,stat452,20
glanz,stat452,21
hughes,stat312,22
hughes,stat312,23
lund,stat350,24
lund,stat350,25
mcgaughey,stat313,26
mcgaughey,stat313,27
mcgaughey,stat323,28
mcgaughey,stat313,29
mcgaughey,stat313,30
mcgaughey,stat313,31
mcgaughey,stat323,32
mcgaughey,stat313,33
rein,stat513,34
rein,stat218,35
rein,stat218,36
rein,stat513,37
rein,stat218,38
rein,stat218,39
ross,stat405,40
ross,stat218,41
ross,stat218,42
ross,stat218,43
roy,stat423,44
sabbag,stat410,45
sabbag,stat217,46
sabbag,stat217,47
sabbag,stat217,48
schaffner,stat302,49
walker,stat334,50
walker,stat334,51
clancy,stat542,52
clancy,stat312,53
clancy,stat312,54
clancy,stat312,55
clancy,stat312,56
clancy,stat312,57
dekhtyar,stat252,58
dekhtyar,stat252,59
dekhtyar,stat252,60
dekhtyar,stat252,61
dekhtyar,stat252,62
dekhtyar,stat252,63
dekhtyar,stat252,64
dekhtyar,stat252,65
dekhtyar,stat252,66
dekhtyar,stat252,67
grant-ghanotakis,stat462,68
grant-ghanotakis,stat217,69
grant-ghanotakis,stat217,70
grant-ghanotakis,stat589,71
grant-ghanotakis,stat589,72
grant-ghanotakis,stat217,73
grant-ghanotakis,stat217,74
grant-ghanotakis,stat589,75
grant-ghanotakis,stat589,76
olenowski,stat218,77
olenowski,stat218,78
olenowski,stat218,79
olenowski,stat218,80
ottesen,stat441,81
schroth-glanz,stat251,82
schroth-glanz,stat251,83
schroth-glanz,stat251,84
schroth-glanz,stat251,85
smith,stat462,86
smith,stat465,87
smith,stat465,88
smith,stat465,89
smith,stat465,90
williams,stat252,91
williams,stat252,92
williams,stat252,93
williams,stat252,94
zwarg,stat251,95
zwarg,stat312,96
zwarg,stat312,97
zwarg,stat312,98
