stat130, statistical reasoning,4,ge area b1, f w sp, math 96; or math 115; or appropriate math placement level.,Survey of statistical ideas and philosophy.  Emphasis on concepts rather than in-depth coverage of statistical methods.  Topics include sampling experimentation data exploration chance phenomena and methods of statistical inference.  Not open to students with credit in any statistics course.  4 lectures.  Fulfills GE Area B1; for students admitted Fall 2016 or later a grade of C- or better in one GE Area B1 course is required to fulfill GE Area B.
stat150, introduction to the discipline of statistics,2,None, f, freshman and statistics major.,Orientation to the statistics program introduction to the discipline of statistics including the development of the discipline professional ethics data visualization and the role of statistics in the scientific enterprise.  2 lectures.
stat200, special problems for undergraduates,1-2,None, f w sp, consent of department chair.,Individual investigation research studies or surveys of selected problems.  Total credit limited to 4 units with a maximum of 2 units per quarter.
stat217, introduction to statistical concepts and methods,4,ge area b1, fwspsu, math 96; or math 115; or appropriate math placement level.,Sampling and experimentation descriptive statistics confidence intervals two-sample hypothesis tests for means and proportions Chi-square tests linear and multiple regression analysis of variance.  Substantial use of statistical software.  Not open to students with credit in 'STAT 218' 'STAT 251'.  Course may be offered in classroom-based or online format.  4 lectures.  Fulfills GE Area B1; for students admitted Fall 2016 or later a grade of C- or better in one GE Area B1 course is required to fulfill GE Area B.
stat218, applied statistics for the life sciences,4,ge area b1, fwspsu, math 96; or math 115; or appropriate math placement level.,Data collection and experimental design descriptive statistics confidence intervals parametric and non parametric one and two-sample hypothesis tests analysis of variance correlation simple linear regression chi-square tests.  Applications of statistics to the life sciences.  Substantial use of statistical software.  Not open to students with credit in 'STAT 217' 'STAT 251'.  4 lectures.  Fulfills GE Area B1; for students admitted Fall 2016 or later a grade of C- or better in one GE Area B1 course is required to fulfill GE Area B.
stat251, statistical inference for management i,4,ge area b1, f w sp, appropriate math placement level or math 118.,Descriptive statistics.  Probability and counting rules.  Random variables and probability distributions.  Sampling distributions and point estimation.  Confidence intervals and tests of hypotheses for a single mean and proportion.  4 lectures.  Fulfills GE Area B1; for students admitted Fall 2016 or later a grade of C- or better in one GE Area B1 course is required to fulfill GE Area B.
stat252, statistical inference for management ii,5,ge area b1, f w sp, stat 251 with a minimum grade of c- or consent of instructor.,Confidence intervals and tests of hypotheses for two means and two proportions.  Introduction to ANOVA regression correlation multiple regression time series and forecasting.  Statistical quality control.  Enumerative data analysis.  Substantial use of statistical software.  Course may be offered in classroom-based or online format.  5 lectures.  Fulfills GE B1; for students admitted Fall 2016 or later a grade of C- or better in one GE B1 course is required to fulfill GE Area B.
stat270, selected topics,1-4,None, tbd, open to undergraduate students and consent of instructor.,Directed group study of selected topics.  The Class Schedule will list topic selected.  Total credit limited to 8 units.  1 to 4 lectures.
stat301, statistics i,4,None, f w, math 141.,Introduction to statistics for mathematically inclined students focused on process of statistical investigations.  Observational studies controlled experiments randomization confounding randomization tests hypergeometric distribution descriptive statistics sampling bias binomial distribution significance tests confidence intervals normal model t-procedures two-sample procedures.  Substantial use of statistical software.  4 lectures.
stat302, statistics ii,4,None, w sp, stat 301.,Continued study of the process concepts and methods of statistical investigations.  Association chi-square procedures one-way ANOVA multiple comparisons two-way ANOVA with interaction simple linear regression correlation prediction multiple regression.  Substantial use of statistical software.  4 lectures.
