theme	question	answerId	primary	secondary	query	type
content	What is the course description for [STAT-COURSE]?	1	The following is the course description for [STAT-COURSE]: [COURSE-DESCRIPTION].		select course_description from courses where course_num = '[STAT-COURSE]';	1
content	What is the description for [STAT-COURSE]?	1	The following is the course description for [STAT-COURSE]: [COURSE-DESCRIPTION].		select course_description from courses where course_num = '[STAT-COURSE]';	1
content	What can I learn about in [STAT-COURSE]	1	The following is the course description for [STAT-COURSE]: [COURSE-DESCRIPTION].		select course_description from courses where course_num = '[STAT-COURSE]';	1
content	What is covered in [STAT-COURSE]?	1	The following is the course description for [STAT-COURSE]: [COURSE-DESCRIPTION].		select course_description from courses where course_num = '[STAT-COURSE]';	1
content	Which courses require use of statistical software?	2	The following courses require use of statistical software: [COURSE-LIST].		select course_num, course_title from courses where course_description like '%software%';	
content	What coding classes does the stat department offer?	3	The following coding classes are offered by the stat department: [COURSE-LIST].		select course_num, course_title from courses where course_title like '%computing%';	
content	What stat courses are for engineers?	4	minor		select course_num, course_title from courses where course_title like '%computing%';	
content	What stat courses are for business majors?	5	The following courses are for business majors: [COURSE-LIST].		select course_num, course_title from courses where course_title like '%management%';	
content	What certification classes does the department offer?	7	The following courses are certification courses: [COURSE-LIST].		select course_num, course_title from courses where course_title like '%certification%';	
content	What are the intro stat classes?	8	The following courses are intro courses: [COURSE-LIST].		select course_num, course_title from courses where course_title like '%introduction%';	
content	What are the introductory stat courses?	8	The following courses are intro courses: [COURSE-LIST].		select course_num, course_title from courses where course_title like '%introduction%';	
content	Which stat classes use R?	9	The following courses use R: [COURSE-LIST].		select course_num, course_title from courses where course_title like '% r.%';	
content	Which stat classes use SAS?	10	The following courses use SAS: [COURSE-LIST].		select course_num, course_title from courses where course_title like '%sas%';	
content	What [TOPIC] classes does the department offer?	12	Here are the classes about [TOPIC] : [COURSE-LIST]		p	
content	Are there any courses offered about [TOPIC]?	12	Here are the classes about [TOPIC] : [COURSE-LIST]		p	
content	How many courses are offered about [TOPIC]?	12	Here are the classes about [TOPIC] : [COURSE-LIST]		p	
content	Which courses will teach me about [TOPIC]?	12	Here are the classes about [TOPIC] : [COURSE-LIST]		p	
content	Which classes will teach me about [TOPIC]?	12	Here are the classes about [TOPIC] : [COURSE-LIST]		p	
content	Which courses cover [TOPIC]?	12	Here are the classes about [TOPIC] : [COURSE-LIST]		p	
content	What courses should I take if I'm interested in [TOPIC]?	12	Here are the classes about [TOPIC] : [COURSE-LIST]		p	
content	Which faculty members teach courses on [TOPIC]?	14	There are a couple faculty memebers can teach you about [TOPIC]. They are [STAT-FACULTY-LIST]		select distinct(faculty_last_name) from faculty_courses where course_description like '%[TOPIC]%';	1
content	Will I learn about [TOPIC] in [STAT-COURSE]?	16	In [STAT-COURSE] you will learn about the following topics. [COURSE-DESCRIPTION]		c	
content	Which courses do not have labs?	17	There are quite a few. I'll list them for you: [COURSE-LIST].		select course_num, course_title from courses where couse_description not like '% lab%' 	
content	Does [STAT-COURSE] have any labs?	18	The number of labs in [STAT-COURSE] can be found in the course description: [COURSE-DESCRIPTION]		select course_description from courses where course_num = '[STAT-COURSE]';	1
content	How many lectures does [STAT-COURSE] have?	19	The number of lectures in [STAT-COURSE] can be found in the course description: [COURSE-DESCRIPTION]		select course_description from courses where course_num = '[STAT-COURSE]';	1
content	How many labs does [STAT-COURSE] have?	20	The number of labs in [STAT-COURSE] can be found in the course description: [COURSE-DESCRIPTION]		select course_description from courses where course_num = '[STAT-COURSE]';	1
content	What are some approved support electives in the area of [TOPIC]?	21	Some support classes on [TOPIC] are: [COURSE-LIST]. Make sure both of the support electives you take are from the same area!		select course_num, course_title from courses where course_description like '%[TOPIC]%';	1
content	How many units is [STAT-COURSE]?	23	[STAT-COURSE] is [NUM-CREDITS] units		select course_units from courses where course_num = '[STAT-COURSES]';	1
faculty	Which professors teach [STAT-COURSE]?	24	[STAT-COURSE] is taught by [FACULTY-LIST].		select distinct(faculty_last_name) from faculty_courses where course_num = '[STAT-COURSE]';	1
faculty	Which faculty teach [STAT-COURSE]?	24	[STAT-COURSE] is taught by [FACULTY-LIST].		select distinct(faculty_last_name) from faculty_courses where course_num = '[STAT-COURSE]';	1
faculty	Who can I take [STAT-COURSE] with?	24	[STAT-COURSE] is taught by [FACULTY-LIST].		select distinct(faculty_last_name) from faculty_courses where course_num = '[STAT-COURSE]';	1
faculty	Who teaches [STAT-COURSE]?	24	[STAT-COURSE] is taught by [FACULTY-LIST].		select distinct(faculty_last_name) from faculty_courses where course_num = '[STAT-COURSE]';	1
faculty	Who is teaching [STAT-COURSE]?	24	[STAT-COURSE] is taught by [FACULTY-LIST].		select distinct(faculty_last_name) from faculty_courses where course_num = '[STAT-COURSE]';	1
faculty	Which professor is teaching the most courses?	26	[STAT-FACULTY] is teaching the most courses. They are [COURSE-LIST]		select faculty_last_name, count(*) as count from faculty_courses group by faculty_last_name order by count desc limit 1;	
faculty	Which faculty is teaching the most courses?	26	[STAT-FACULTY] is teaching the most courses. They are [COURSE-LIST]		select faculty_last_name, count(*) as count from faculty_courses group by faculty_last_name order by count desc limit 1;	
faculty	How many STAT professors teach [STAT-COURSE]?	27	[STAT-COURSE] is taught by [STAT-FACULTY-LIST].		select distinct(faculty_last_name) from faculty_courses where course_num = '[STAT-COURSE]'	1
faculty	How many courses does [STAT-FACULTY] teach?	29	[STAT-FACULTY] teaches several classes. They are: [COURSE-LIST].		select course_num from faculty_courses where faculty_last_name = '[STAT-FACULTY]'	1
faculty	What does [STAT-FACULTY] teach?	29	[STAT-FACULTY] teaches several classes. They are: [COURSE-LIST].		select course_num from faculty_courses where faculty_last_name = '[STAT-FACULTY]'	1
faculty	What topics does [STAT-FACULTY] teach in their classes?	29	[STAT-FACULTY] teaches several classes. They are: [COURSE-LIST].		select course_num from faculty_courses where faculty_last_name = '[STAT-FACULTY]'	1
faculty	What is the polyrating for the professor(s) teaching [STAT-COURSE]?	31	The following professors teach [STAT-COURSE]: [STAT-FACULTY-LIST].		select distinct(t.faculty_last_name), t.faculty_rating from faculty_courses c natural join faculty_total t where c.course_num = '[STAT-COURSE]';	1
faculty	Who can teach me about [TOPIC]?	31	The following professors teach [STAT-COURSE]: [STAT-FACULTY-LIST].		select faculty_last_name, course_num from faculty_courses where course_num = "[STAT-COURSE]";	1
faculty	Can [STAT-FACULTY] teach me about [TOPIC]?	32	These are the faculty who teach  [TOPIC]: [STAT-FACULTY-LIST]		select faculty_last_name, course_num from faculty_courses where course_num = "[STAT-COURSE]";	
faculty	What professor teaching [STAT-COURSE] has the highest polyrating?	33	The professor teaching [STAT-COURSE] with the highest polyrating is [STAT-FACULTY].		select distinct(t.faculty_last_name), t.faculty_rating from faculty_courses c natural join faculty_total t where c.course_num = '[STAT-COURSE]' order by t.faculty_rating desc limit 1;	1
faculty	Which stat professor has the highest polyrating?	33	[STAT-FACULTY] has the highest polyrating		select distinct(t.faculty_last_name), t.faculty_rating from faculty_courses c natural join faculty_total t order by t.faculty_rating desc limit 1;	
faculty	Which teacher has the highest polyrating?	33	[STAT-FACULTY] has the highest polyrating		select distinct(t.faculty_last_name), t.faculty_rating from faculty_courses c natural join faculty_total t order by t.faculty_rating desc limit 1;	
